Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,In stock?,Allow customer reviews?,Position
"simple","SOTW-EAS-WESTCHINA","West China Spice Mix","0","0","visible","Sichuan's homemade doubanjiang, built for mapo tofu: fried bird's eye chillies and fermented black beans.","How to Make the Dish: Mapo tofu - silky tofu and minced meat simmered in the sauce with Sichuan pepper until it's numbing, fiery, and completely unmistakable. Also the base for dan dan noodles, kung pao chicken, and proper hot pot. From Episode 29 of the Fudi People YouTube series. WET - a fermented sauce, not a dry blend; sold refrigerated with a limited shelf life (up to 3 weeks per the source), not as a pantry jar. Contains soy (fermented black beans).","","East Asia","West China,Spice Mix,Wet - Needs Adaptation,Contains Soy","1","1","1"
"simple","SOTW-EAS-NORTHCHINA","North China Spice Mix","0","0","visible","North China's whole-spice infusion bag for master-stock chicken: cardamom, star anise, Sichuan pepper, cloves, cumin, cinnamon, and liquorice root.","How to Make the Dish: A Dezhou-style master-stock chicken - the whole bird simmered low in a stock carrying everything from the bag until the meat falls from the bone. From Episode 26 of the Fudi People YouTube series. Dry whole-spice sachet, shelf-stable, exact quantities from the source.","","East Asia","North China,Spice Mix,Dry Blend","1","1","2"
"simple","SOTW-EAS-EASTCHINA","East China Spice Mix","0","0","visible","East China's spice bag behind Nanjing's famous salted duck: cloves, star anise, white pepper, bay, and liquorice root.","How to Make the Dish: Nanjing salted duck - the bag simmered into the poaching stock alongside fresh ginger and Shaoxing wine, the dish this city is known for worldwide. From Episode 27 of the Fudi People YouTube series. Dry whole-spice sachet, shelf-stable, exact quantities from the source.","","East Asia","East China,Spice Mix,Dry Blend","1","1","3"
"simple","SOTW-EAS-SOUTHCHINA","South China Spice Mix","0","0","visible","The classic Cantonese five-spice powder, genuinely better homemade: star anise, fennel, cloves, cinnamon, and Sichuan pepper.","How to Make the Dish: Lu rou fan, Taiwanese braised minced pork rice - pork belly slow-braised in soy, rice wine, and five-spice until rich and sticky, spooned over steamed rice. From Episode 28 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source.","","East Asia","South China,Spice Mix,Dry Blend","1","1","4"
"simple","SOTW-EAS-SOUTHKOREA","South Korea Spice Mix","0","0","visible","Korea's toasted-sesame-and-gochugaru dipping sauce: soy sauce, sesame oil, rice vinegar, gochugaru, garlic, and spring onion.","How to Make the Dish: A straightforward pork and cabbage mandu (dumpling) filling, wrapped, pan-fried until the base is crisp, and dipped straight into the sauce. Also drizzled over bibimbap and tossed through japchae. From Episode 24 of the Fudi People YouTube series. WET - a soy-based sauce, not a dry blend; sold refrigerated, not as a pantry jar. Contains soy and sesame.","","East Asia","South Korea,Spice Mix,Wet - Needs Adaptation,Contains Soy,Contains Sesame","1","1","5"
"simple","SOTW-EAS-JAPAN","Japan Spice Mix","0","0","visible","Japan's seven-spice table condiment: sansho, citrus peel, chilli, nori, black sesame, and garlic powder.","How to Make the Dish: Yakitori - skewered grilled chicken, finished with a table sprinkle of shichimi right before serving. Also used on noodles and curries. From Episode 25 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source. Contains sesame.","","East Asia","Japan,Spice Mix,Dry Blend,Contains Sesame","1","1","6"
"simple","SOTW-EAS-CHILLIOIL","Fudi People Chilli Oil with Spices of East Asia","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - tie this chilli oil to East Asia's flavour profile]","[DESCRIPTION PLACEHOLDER - expand on the East Asia flavour story for this chilli oil]","","East Asia","Chilli Oil","1","1","99"
"simple","SOTW-SAS-NORTHINDIA","North India Spice Mix","0","0","visible","North India's real garam masala, nothing like supermarket curry powder: black cardamom, cassia, black pepper, black cumin, mace, cloves, and nutmeg.","How to Make the Dish: Chana Masala with Sweet Potato and Spinach - a chickpea curry finished with garam masala stirred in right at the end, the way most North Indian home cooks actually use it. Also finishes kebabs, dhals, and Bhopal's biryanis. From Episode 18 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source. Black cumin and mace can be hard to source outside specialist shops.","","South Asia","North India,Spice Mix,Dry Blend","1","1","1"
"simple","SOTW-SAS-HIMALAYANBELT","Himalayan Belt Spice Mix","0","0","visible","The Himalayan Belt's tingling timur-and-chilli table spice.","How to Make the Dish: The Himalayan equivalent of salt and pepper on the table - sprinkled over soups, used as a dip for fried meats, or alongside ginger-spiced steamed dumplings, momo-style. From Episode 19 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source. Timur itself may be hard to source outside Nepali/Himalayan grocers.","","South Asia","Himalayan Belt,Spice Mix,Dry Blend","1","1","2"
"simple","SOTW-SAS-CENTRALINDIA","Central India Spice Mix","0","0","visible","Central India's tangy, sulphurous street-food seasoning: cumin, coriander, black pepper, amchoor, asafoetida, and kala namak.","How to Make the Dish: Chaat itself - the whole category of savoury snacks it's named after - plus sprinkled over roasted peanuts, stirred through yoghurt, and dusted onto grilled kebabs. From Episode 20 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source. Kala namak has a distinctive sulphurous smell, worth a heads-up for customers unfamiliar with it.","","South Asia","Central India,Spice Mix,Dry Blend","1","1","3"
"simple","SOTW-SAS-WESTINDIA","West India Spice Mix","0","0","visible","Goa's Portuguese-rooted vindaloo paste: cumin, Kashmiri chillies, black pepper, mustard, fenugreek, cloves, cardamom, cassia, and star anise.","How to Make the Dish: Goan Vindaloo - chicken or pork marinated in the paste overnight, browned with onion, simmered with tomatoes and stock, finished with jaggery and vinegar until thick, served with rice, yoghurt, and lime pickle. From Episode 22 of the Fudi People YouTube series. WET - a vinegar-based paste, not a dry blend; sold as a refrigerated jarred paste, not a shelf-stable dry mix. Contains mustard.","","South Asia","West India,Spice Mix,Wet - Needs Adaptation,Contains Mustard","1","1","4"
"simple","SOTW-SAS-EASTINDIA","East India Spice Mix","0","0","visible","Bengal's five-seed tempering spice, no grinding required: cumin, brown mustard, fennel, nigella, and fenugreek.","How to Make the Dish: Masor Tenga Fish Curry - pan-fried fish in a sour, tomato-and-mustard broth tempered with panch phoran, from the same river delta the spice comes from. Also lifts dhals and vegetable dishes. From Episode 21 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source, one of the simplest blends in the whole range. Contains mustard. Shares its source episode with the Bangladesh spice mix below.","","South Asia","East India,Spice Mix,Dry Blend,Contains Mustard","1","1","5"
"simple","SOTW-SAS-SOUTHINDIA","South India Spice Mix","0","0","visible","South India's condiment powder for dosa and idli: roasted lentils, coconut, sesame, curry leaves, and red chillies.","How to Make the Dish: A plain dosa, torn and dipped straight into gunpowder mixed with a little sesame oil. Also sprinkled over rice and idli. From Episode 23 of the Fudi People YouTube series. Dry-ground condiment, exact quantities from the source; contains tamarind pulp and jaggery, so treat as a semi-moist powder with a shorter shelf life than a pure dry spice mix. Contains sesame. Shares its source episode with the Sri Lanka spice mix below.","","South Asia","South India,Spice Mix,Dry Blend,Contains Sesame","1","1","6"
"simple","SOTW-SAS-BANGLADESH","Bangladesh Spice Mix","0","0","visible","Bengal's five-seed tempering spice, no grinding required: cumin, brown mustard, fennel, nigella, and fenugreek.","How to Make the Dish: Masor Tenga Fish Curry - pan-fried fish in a sour, tomato-and-mustard broth tempered with panch phoran. From Episode 21 of the Fudi People YouTube series, drafted as a joint East India & Bangladesh episode - same blend as the East India spice mix above, listed separately to match this site's structure. Dry blend, shelf-stable, exact quantities from the source. Contains mustard.","","South Asia","Bangladesh,Spice Mix,Dry Blend,Contains Mustard","1","1","7"
"simple","SOTW-SAS-SRILANKA","Sri Lanka Spice Mix","0","0","visible","South India's condiment powder for dosa and idli: roasted lentils, coconut, sesame, curry leaves, and red chillies.","How to Make the Dish: A plain dosa, torn and dipped straight into gunpowder mixed with a little sesame oil. From Episode 23 of the Fudi People YouTube series, drafted as a joint South India & Sri Lanka episode - same blend as the South India spice mix above, listed separately to match this site's structure. Contains sesame; contains tamarind pulp and jaggery, so treat as a semi-moist powder with a shorter shelf life than a pure dry spice mix. Sri Lanka's own historic world monopoly on cinnamon is name-checked in the episode - worth a dedicated blend of its own later if you want a Sri Lanka product distinct from Gunpowder.","","South Asia","Sri Lanka,Spice Mix,Dry Blend,Contains Sesame","1","1","8"
"simple","SOTW-SAS-CHILLIOIL","Fudi People Chilli Oil with Spices of South Asia","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - tie this chilli oil to South Asia's flavour profile]","[DESCRIPTION PLACEHOLDER - expand on the South Asia flavour story for this chilli oil]","","South Asia","Chilli Oil","1","1","99"
"simple","SOTW-SEA-MYANMAR","Myanmar Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Myanmar spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Myanmar spice mix]","","Southeast Asia","Myanmar,Spice Mix","1","1","1"
"simple","SOTW-SEA-THAILAND","Thailand Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Thailand spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Thailand spice mix]","","Southeast Asia","Thailand,Spice Mix","1","1","2"
"simple","SOTW-SEA-LAOS","Laos Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Laos spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Laos spice mix]","","Southeast Asia","Laos,Spice Mix","1","1","3"
"simple","SOTW-SEA-CAMBODIA","Cambodia Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Cambodia spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Cambodia spice mix]","","Southeast Asia","Cambodia,Spice Mix","1","1","4"
"simple","SOTW-SEA-VIETNAM","Vietnam Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Vietnam spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Vietnam spice mix]","","Southeast Asia","Vietnam,Spice Mix","1","1","5"
"simple","SOTW-SEA-MALAYSIA","Malaysia Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Malaysia spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Malaysia spice mix]","","Southeast Asia","Malaysia,Spice Mix","1","1","6"
"simple","SOTW-SEA-SINGAPORE","Singapore Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Singapore spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Singapore spice mix]","","Southeast Asia","Singapore,Spice Mix","1","1","7"
"simple","SOTW-SEA-PHILIPPINES","Philippines Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Philippines spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Philippines spice mix]","","Southeast Asia","Philippines,Spice Mix","1","1","8"
"simple","SOTW-SEA-INDONESIA","Indonesia Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Indonesia spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Indonesia spice mix]","","Southeast Asia","Indonesia,Spice Mix","1","1","9"
"simple","SOTW-SEA-CHILLIOIL","Fudi People Chilli Oil with Spices of Southeast Asia","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - tie this chilli oil to Southeast Asia's flavour profile]","[DESCRIPTION PLACEHOLDER - expand on the Southeast Asia flavour story for this chilli oil]","","Southeast Asia","Chilli Oil","1","1","99"
"simple","SOTW-AME-NORTHAMERICA","North America Spice Mix","0","0","visible","A Kansas-City-meets-Memphis dry rub for steak, brisket, and pulled pork: cumin, cayenne, chilli powder, brown sugar, and smoked paprika.","How to Make the Dish: Pulled pork - pork shoulder coated generously in the rub, cooked low and slow until it shreds apart with a fork. Also covers steak, brisket, and chicken wings. From Episode 33 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source.","","Americas","North America,Spice Mix,Dry Blend","1","1","1"
"simple","SOTW-AME-MEXICOCENTRALAMERICA","Mexico & Central America Spice Mix","0","0","visible","The three-chilli spice mix behind Mexican mole, before it becomes a sauce: ancho, pasilla, and mulato chillies, cacao nibs, sesame, and warm spices.","How to Make the Dish: Pollo en Mole - the mix stirred into fried onions, garlic, and tomatoes to make a mole sauce, then simmered with chicken until thick, dark, and coating every piece. From Episode 30 of the Fudi People YouTube series. Dry blend as packaged, shelf-stable, exact quantities from the source, though it's designed to be simmered into a wet sauce by the customer. Contains sesame.","","Americas","Mexico & Central America,Spice Mix,Dry Blend,Contains Sesame","1","1","2"
"simple","SOTW-AME-CARIBBEAN","Caribbean Spice Mix","0","0","visible","The allspice-and-Scotch-bonnet dry rub behind Jamaican jerk.","How to Make the Dish: Rub onto chicken, fish, pork, or beef and marinate before grilling - classic Jamaican jerk. The same profile also turns up in West Indian curry and roasted-nigella-seed flatbreads. From Episode 9 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities straight from the source.","","Americas","Caribbean,Spice Mix,Dry Blend","1","1","3"
"simple","SOTW-AME-SOUTHAMERICA","South America Spice Mix","0","0","visible","Peru's citrus-chilli ceviche marinade: aji limo, garlic, ginger, coriander stalks, red onion, and lime juice.","How to Make the Dish: Ceviche - fresh white fish, cubed and marinated directly in the leche de tigre until the flesh turns opaque, traditionally served with the extra marinade on the side to drink afterward. From Episode 34 of the Fudi People YouTube series (drafted as 'Pacific South America'), mapped here to the general South America slot. WET - a fresh citrus marinade with a very short shelf life, sold fresh/refrigerated rather than as a pantry jar.","","Americas","South America,Spice Mix,Wet - Needs Adaptation","1","1","4"
"simple","SOTW-AME-AMAZON","Amazon Spice Mix","0","0","visible","The Amazon's fermented cassava sauce behind pato no tucupi: fermented cassava juice, garlic, chilli, and black pepper.","How to Make the Dish: Pato no tucupi - Amazonian duck simmered in the sauce until the meat is tender and the broth carries all of it. Also the base of tacaca, the jambu-and-shrimp soup. From Episode 32 of the Fudi People YouTube series. WET - a fermented liquid sauce with a 24-hour fermentation step, not a dry blend; sold refrigerated with a limited shelf life. Requires careful cassava processing to remove naturally occurring toxins before sale, confirm with a food-safety officer before listing.","","Americas","Amazon,Spice Mix,Wet - Needs Adaptation","1","1","5"
"simple","SOTW-AME-ANDES","Andes Spice Mix","0","0","visible","Argentina's classic herb-and-oil sauce for grilled steak: chilli, paprika, garlic, onion, parsley or coriander, and oregano.","How to Make the Dish: A grilled steak, rested, sliced, and spooned generously with fresh chimichurri right before serving. From Episode 31 of the Fudi People YouTube series. WET - a fresh oil-and-vinegar sauce with a short shelf life, sold refrigerated rather than as a pantry jar.","","Americas","Andes,Spice Mix,Wet - Needs Adaptation","1","1","6"
"simple","SOTW-AME-CHILLIOIL","Fudi People Chilli Oil with Spices of the Americas","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - tie this chilli oil to the Americas' flavour profile]","[DESCRIPTION PLACEHOLDER - expand on the Americas flavour story for this chilli oil]","","Americas","Chilli Oil","1","1","99"
"simple","SOTW-EUR-SCANDINAVIA","Scandinavia Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Scandinavia spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Scandinavia spice mix]","","Europe","Scandinavia,Spice Mix","1","1","1"
"simple","SOTW-EUR-GREATBRITAIN","Great Britain Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Great Britain spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Great Britain spice mix]","","Europe","Great Britain,Spice Mix","1","1","2"
"simple","SOTW-EUR-FRANCE","France Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the France spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the France spice mix]","","Europe","France,Spice Mix","1","1","3"
"simple","SOTW-EUR-SPAINPORTUGAL","Spain & Portugal Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Spain & Portugal spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Spain & Portugal spice mix]","","Europe","Spain & Portugal,Spice Mix","1","1","4"
"simple","SOTW-EUR-ITALY","Italy Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Italy spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Italy spice mix]","","Europe","Italy,Spice Mix","1","1","5"
"simple","SOTW-EUR-SOUTHEASTEUROPE","Southeast Europe Spice Mix","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - add a flavour profile and origin note for the Southeast Europe spice mix]","How to Make the Dish [RECIPE PLACEHOLDER - add a paired recipe/food sample showing a dish made using the Southeast Europe spice mix]","","Europe","Southeast Europe,Spice Mix","1","1","6"
"simple","SOTW-EUR-CHILLIOIL","Fudi People Chilli Oil with Spices of Europe","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - tie this chilli oil to Europe's flavour profile]","[DESCRIPTION PLACEHOLDER - expand on the Europe flavour story for this chilli oil]","","Europe","Chilli Oil","1","1","99"
