Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,In stock?,Allow customer reviews?
"simple","FP-11-BAHARATTR","Turkish Baharat (Turkey)","0","0","visible","Turkey's warming all-purpose spice blend: pepper, cumin, coriander, and mint.","Ground black peppercorns, cumin seeds, coriander seeds, cloves, cardamom seeds, and nutmeg, with a pinch of cinnamon and dried mint stirred in. Makes roughly 9 tbsp. Featured in Episode 11. Dry blend, shelf-stable, exact quantities from the source.","","Middle East","Turkey,Baharat,Dry Blend","1","1"
"simple","FP-12-ZHUG","Zhug (Israel)","0","0","visible","Israel's bright, fiery green chilli-herb condiment.","Roasted and ground cardamom, coriander, and cumin seeds, pounded to a paste with fresh green chillies and garlic, then combined with fresh coriander, parsley, olive oil, salt, pepper, and lemon juice. Featured in Episode 12. WET, needs adaptation: a fresh herb paste with a short shelf life, sold fresh/refrigerated rather than as a pantry jar.","","Middle East","Israel,Zhug,Wet - Needs Adaptation","1","1"
"simple","FP-13-TAKLIA","Taklia (Lebanon)","0","0","visible","Lebanon's fried-garlic-and-coriander base, the seven-spice baharat's finishing touch.","Garlic cloves gently fried in olive oil until fragrant, then ground with ground coriander, a pinch of cayenne, and sea salt. Featured in Episode 13. WET, needs adaptation: an oil-based fried-garlic paste, not a dry blend; would need reformulating with dried or fried garlic granules and no oil to sell as a shelf-stable product.","","Middle East","Lebanon,Taklia,Wet - Needs Adaptation","1","1"
"simple","FP-14-BAHARATIQ","Arabic Baharat (Iraq)","0","0","visible","Iraq's all-purpose baharat: pepper, allspice, clove, cinnamon, and nutmeg.","Ground black peppercorns, allspice, cloves, coriander seeds, and cumin seeds, combined with cinnamon and grated nutmeg. A genuinely flexible all-purpose rub, marinade base, or seasoning. Featured in Episode 14, the key thread into the South Asia sub-arc. Dry blend, shelf-stable, exact quantities from the source.","","Middle East","Iraq,Baharat,Dry Blend","1","1"
"simple","FP-15-ADVIEH","Advieh (Iran)","0","0","visible","Iran's rose-petal-and-warm-spice blend.","Ground dried rose petals, cardamom seeds, and cumin seeds, combined with ground cinnamon and ground ginger. Featured in Episode 15, planting the rose-petal thread into East Asia. Dry blend, shelf-stable, exact quantities from the source.","","Middle East","Iran,Advieh,Dry Blend","1","1"
"simple","FP-16-DUKKAH","Dukkah (Egypt)","0","0","visible","Egypt's roasted nut, seed, and spice dip.","Roasted hazelnuts and whole almonds, dry-fried coriander seeds, cumin seeds, and sesame seeds, ground together with a pinch of salt. Served with olive oil and bread. Featured in Episode 16, the direct link back to the Maghreb. Dry blend, shelf-stable, exact quantities and timings from the source. Contains hazelnuts, almonds, and sesame.","","Middle East","Egypt,Dukkah,Dry Blend,Contains Tree Nuts,Contains Sesame","1","1"
"simple","FP-17-HAWAIJ","Hawaij (Arabian Peninsula)","0","0","visible","The Arabian Peninsula's cumin-forward stew spice.","Ground black peppercorns, cumin seeds, cardamom seeds, and coriander seeds, combined with ground turmeric. Used in slow-cooked meats and soups. Featured in Episode 17, closing the Middle East sub-arc. Dry blend, shelf-stable, exact quantities from the source. A separate sweet variant swaps the pepper and cumin for ginger, cloves, cinnamon, and fennel.","","Middle East","Arabian Peninsula,Yemen,Oman,Saudi Arabia,Hawaij,Dry Blend","1","1"
"simple","FP-18-GARAM","Garam Masala (North India)","0","0","visible","North India's real garam masala, nothing like supermarket curry powder.","Ground black cardamom seeds, cassia, black peppercorns, black cumin seeds, mace, cloves, and nutmeg, sieved to a fine powder. Stirred in as a finishing spice for dhals, kebabs, biryani, or curries. Featured in Episode 18, opening the South Asia sub-arc. Dry blend, shelf-stable, exact quantities from the source. Black cumin and mace can be hard to source outside specialist shops.","","South Asia","North India,Garam Masala,Dry Blend","1","1"
"simple","FP-19-TIMUR","Timur ko Chhop (Himalayan Belt)","0","0","visible","The Himalayan Belt's tingling timur-and-chilli table spice.","Dry-roasted timur (or Sichuan pepper as a substitute), mixed with red chilli powder and salt, then ground to a powder. Featured in Episode 19. Dry blend, shelf-stable, exact quantities from the source. Timur itself may be hard to source outside Nepali/Himalayan grocers.","","South Asia","Himalayan Belt,Nepal,Bhutan,Dry Blend","1","1"
"simple","FP-20-CHAAT","Chaat Masala (Central India)","0","0","visible","Central India's tangy, sulphurous street-food seasoning.","Dry-roasted cumin seeds, coriander seeds, and black peppercorns, ground and mixed with amchoor (dried mango powder), ground ginger, asafoetida, kala namak (Himalayan black salt), and salt. Sprinkled over fruit, snacks, and yoghurt. Featured in Episode 20. Dry blend, shelf-stable, exact quantities from the source. Kala namak has a distinctive sulphurous smell, worth a heads-up for customers unfamiliar with it.","","South Asia","Central India,Chaat Masala,Dry Blend","1","1"
"simple","FP-21-PANCH","Panch Phoran (East India & Bangladesh)","0","0","visible","Bengal's five-seed tempering spice, no grinding required.","Cumin seeds, brown mustard seeds, fennel seeds, nigella seeds, and fenugreek seeds, simply combined whole. Fried in oil or ghee at the start of cooking, or used to temper a dish just before serving. Featured in Episode 21. Dry blend, shelf-stable, exact quantities from the source, one of the simplest blends in the whole range. Contains mustard.","","South Asia","East India,Bangladesh,Panch Phoran,Dry Blend,Contains Mustard","1","1"
"simple","FP-22-VINDALOO","Vindaloo Paste (West India)","0","0","visible","Goa's Portuguese-rooted vindaloo paste.","Toasted cumin seeds, whole dried Kashmiri chillies, black peppercorns, black mustard seeds, fenugreek seeds, cloves, cardamom seeds, cassia, and star anise, ground and mixed with cider or palm vinegar, salt, and jaggery into a stiff paste. Featured in Episode 22. WET, needs adaptation: a vinegar-based paste, not a dry blend; sold as a refrigerated jarred paste, not a shelf-stable dry mix. Contains mustard.","","South Asia","West India,Goa,Vindaloo,Wet - Needs Adaptation,Contains Mustard","1","1"
"simple","FP-23-GUNPOWDER","Gunpowder / Podi (South India & Sri Lanka)","0","0","visible","South India's condiment powder for dosa and idli.","Dry-roasted chana dal and urad dal, toasted coconut, black sesame seeds, curry leaves, and red chillies, with tamarind pulp, asafoetida, and jaggery stirred in, ground to a coarse powder. Sprinkled over rice, dosa, or idli, or mixed with oil as a dip. Featured in Episode 23, closing the South Asia sub-arc. Dry-ground condiment, exact quantities from the source; contains tamarind pulp and jaggery, so treat as a semi-moist powder with a shorter shelf life than a pure dry spice mix. Contains sesame.","","South Asia","South India,Sri Lanka,Gunpowder,Podi,Dry Blend,Contains Sesame","1","1"
"simple","FP-24-YANGNYEOM","Yangnyeomjang (South Korea)","0","0","visible","Korea's toasted-sesame-and-gochugaru dipping sauce.","Dry-roasted sesame seeds mixed with soy sauce, toasted sesame oil, rice vinegar, gochugaru (chilli flakes), sugar or honey, crushed garlic, and sliced spring onion. Used as a dip, sauce, and marinade, classically for mandu dumplings. Featured in Episode 24, opening the East Asia sub-arc. WET, needs adaptation: a soy-based sauce, not a dry blend; sold refrigerated, not as a pantry jar. Contains soy and sesame.","","East Asia","South Korea,Yangnyeomjang,Wet - Needs Adaptation,Contains Soy,Contains Sesame","1","1"
"simple","FP-25-SHICHIMI","Shichimi-Togarashi (Japan)","0","0","visible","Japan's seven-spice table condiment.","Finely ground sanshō (or Sichuan pepper), dried orange, yuzu, or lemon peel, chilli powder, nori seaweed flakes, black sesame seeds, hemp, flax, or chia seeds, and garlic powder. Sprinkled over grilled meats, noodles, and curries. Featured in Episode 25. Dry blend, shelf-stable, exact quantities from the source. Contains sesame.","","East Asia","Japan,Shichimi-Togarashi,Dry Blend,Contains Sesame","1","1"
"simple","FP-26-SHANDONG","Shandong Spice Bag (North China)","0","0","visible","North China's whole-spice infusion bag for master-stock chicken.","Cardamom pods, star anise, whole Sichuan pepper, cloves, ground cumin, a cinnamon stick, liquorice root, and dried orange or tangerine peel, tied in a muslin bag and simmered in stock. Featured in Episode 26. Dry whole-spice sachet, shelf-stable, exact quantities from the source.","","East Asia","North China,Spice Bag,Dry Blend","1","1"
"simple","FP-27-NANJING","Nanjing Spice Bag (East China)","0","0","visible","East China's spice bag behind Nanjing's famous salted duck.","Cloves, star anise, crushed whole white pepper, bay leaves, dried tangerine peel, liquorice root powder, and salt, tied in a muslin bag and simmered with fresh ginger and Shaoxing wine. Featured in Episode 27. Dry whole-spice sachet, shelf-stable, exact quantities from the source. Fresh ginger and wine are added separately by the cook, not part of the packaged bag.","","East Asia","East China,Nanjing,Spice Bag,Dry Blend","1","1"
"simple","FP-28-FIVESPICE","Five-Spice Powder (South China)","0","0","visible","The classic Cantonese five-spice powder, genuinely better homemade.","Ground star anise, fennel seeds, cloves, a cinnamon stick, and whole Sichuan pepper. Used as a rub for roasting meats or stirred into stir-fries and stews, the defining flavour of Taiwanese lu rou fan. Featured in Episode 28. Dry blend, shelf-stable, exact quantities from the source.","","East Asia","South China,Taiwan,Five-Spice,Dry Blend","1","1"
"simple","FP-29-CHILLIBEAN","Chilli Black Bean Sauce (West China)","0","0","visible","Sichuan's homemade doubanjiang, built for mapo tofu.","Fried bird's eye chillies and fermented black beans, simmered with rice wine, dark rice vinegar, sugar, garlic, and ginger until the oil separates. A homemade version of doubanjiang. Featured in Episode 29, closing the East Asia sub-arc. WET, needs adaptation: a fermented sauce, not a dry blend; sold refrigerated with a limited shelf life (the source notes up to 3 weeks), not as a pantry jar. Contains soy (fermented black beans).","","East Asia","West China,Sichuan,Doubanjiang,Wet - Needs Adaptation,Contains Soy","1","1"
"simple","FP-30-MOLE","Mole Mix (Mexico & Central America)","0","0","visible","The three-chilli spice mix behind Mexican mole, before it becomes a sauce.","Toasted dried ancho, pasilla, and mulato chillies, ground with cacao nibs, sesame seeds, a cinnamon stick, cumin seeds, anise seeds, black peppercorns, cloves, dried thyme, marjoram, and a bay leaf. Stirred into fried onions, garlic, and tomatoes to make a mole sauce at home. Featured in Episode 30, continuing the Americas sub-arc. Dry blend as packaged, shelf-stable, exact quantities from the source, though it's designed to be simmered into a wet sauce by the customer. Contains sesame.","","The Americas","Mexico,Central America,Mole,Dry Blend,Contains Sesame","1","1"
"simple","FP-31-CHIMICHURRI","Chimichurri (The Andes)","0","0","visible","Argentina's classic herb-and-oil sauce for grilled steak.","Chilli powder, dried chilli flakes, paprika, finely chopped garlic and onion, parsley or coriander, oregano, wine vinegar, and olive oil, seasoned with salt and black pepper. Served with steak and sausages. Featured in Episode 31. WET, needs adaptation: a fresh oil-and-vinegar sauce with a short shelf life, sold refrigerated rather than as a pantry jar.","","The Americas","The Andes,Argentina,Chimichurri,Wet - Needs Adaptation","1","1"
"simple","FP-32-TUCUPI","Tucupí (Amazon Basin)","0","0","visible","The Amazon's fermented cassava sauce behind pato no tucupí.","Fermented cassava root juice, simmered with garlic, hot red chillies, and black pepper. Served as a broth-like sauce with duck, pork, or fish. Featured in Episode 32. WET, needs adaptation: a fermented liquid sauce with a 24-hour fermentation step, not a dry blend; sold refrigerated with a limited shelf life. Requires careful cassava processing to remove naturally occurring toxins before sale, confirm with a food-safety officer before listing.","","The Americas","Amazon Basin,Brazil,Tucupi,Wet - Needs Adaptation","1","1"
"simple","FP-33-BBQ","BBQ Rub (North America)","0","0","visible","A Kansas-City-meets-Memphis dry rub for steak, brisket, and pulled pork.","Ground cumin, cayenne pepper, chilli powder, brown sugar, black pepper, smoked paprika, onion powder, sea salt, and garlic powder. Rubbed generously onto meat before smoking or slow-cooking. Featured in Episode 33. Dry blend, shelf-stable, exact quantities from the source.","","The Americas","North America,BBQ,Dry Blend","1","1"
"simple","FP-34-LECHEDETIGRE","Leche de Tigre (Pacific South America)","0","0","visible","Peru's citrus-chilli ceviche marinade.","Finely chopped ají limo (or habanero), crushed garlic, grated ginger, chopped fresh coriander stalks, finely chopped red onion, and fresh lime juice, seasoned with salt. Used to marinate fish for ceviche, then traditionally drunk on its own afterward. Featured in Episode 34, closing the Americas sub-arc and Season 1. WET, needs adaptation: a fresh citrus marinade with a very short shelf life, sold fresh/refrigerated rather than as a pantry jar.","","The Americas","Pacific South America,Peru,Ceviche,Wet - Needs Adaptation","1","1"
